29-01-2019;20-21;221.58
29-01-2019;21-22;164.05
29-01-2019;22-23;104.8
29-01-2019;23-00;77.93
30-01-2019;00-01;103.97
30-01-2019;01-02;103.53
30-01-2019;02-03;96.83
30-01-2019;03-04;102.71
30-01-2019;04-05;115.36
30-01-2019;05-06;178.77
30-01-2019;06-07;249.4
30-01-2019;07-08;257.29
30-01-2019;08-09;248.73
30-01-2019;09-10;244.34
30-01-2019;10-11;245.08
30-01-2019;11-12;241.36
30-01-2019;12-13;240.62
30-01-2019;13-14;239.57
30-01-2019;14-15;239.35
30-01-2019;15-16;240.91
30-01-2019;16-17;244.56
30-01-2019;17-18;324.79
30-01-2019;18-19;315.26
30-01-2019;19-20;271.65
30-01-2019;20-21;246.87
30-01-2019;21-22;240.91
30-01-2019;22-23;231.61
30-01-2019;23-00;224.09
31-01-2019;00-01;220.36
31-01-2019;01-02;215.67
31-01-2019;02-03;202.72
31-01-2019;03-04;133.73
31-01-2019;04-05;145.34
31-01-2019;05-06;196.25
31-01-2019;06-07;236.21
31-01-2019;07-08;233.31
31-01-2019;08-09;236.81
31-01-2019;09-10;229.89
31-01-2019;10-11;228.55
31-01-2019;11-12;223.49
31-01-2019;12-13;220.36
31-01-2019;13-14;218.65
31-01-2019;14-15;220.51
31-01-2019;15-16;220.51
31-01-2019;16-17;224.45
31-01-2019;17-18;239.26
31-01-2019;18-19;249.53
31-01-2019;19-20;242.02
31-01-2019;20-21;218.05
31-01-2019;21-22;208.83
31-01-2019;22-23;210.76
31-01-2019;23-00;185.9
01-02-2019;00-01;178.15
01-02-2019;01-02;180.23
01-02-2019;02-03;179.04
01-02-2019;03-04;149.5
01-02-2019;04-05;165.42
01-02-2019;05-06;187.9
01-02-2019;06-07;244.08
01-02-2019;07-08;253.83
01-02-2019;08-09;243.56
01-02-2019;09-10;241.7
01-02-2019;10-11;241.18
01-02-2019;11-12;234.93
01-02-2019;12-13;231.28
01-02-2019;13-14;234.04
01-02-2019;14-15;235.15
01-02-2019;15-16;234.56
01-02-2019;16-17;238.87
01-02-2019;17-18;245.42
01-02-2019;18-19;246.76
01-02-2019;19-20;240.06
01-02-2019;20-21;233.89
01-02-2019;21-22;234.11
01-02-2019;22-23;232.4
01-02-2019;23-00;215.58
02-02-2019;00-01;224.14
02-02-2019;01-02;222.28
02-02-2019;02-03;221.69
02-02-2019;03-04;221.32
02-02-2019;04-05;224
02-02-2019;05-06;239.47
02-02-2019;06-07;250.49
02-02-2019;07-08;278.47
02-02-2019;08-09;307.57
02-02-2019;09-10;283.23
02-02-2019;10-11;306.6
02-02-2019;11-12;269.09
02-02-2019;12-13;258.6
02-02-2019;13-14;261.95
02-02-2019;14-15;264.7
02-02-2019;15-16;262.17
02-02-2019;16-17;281.97
02-02-2019;17-18;357.35
02-02-2019;18-19;348.27
02-02-2019;19-20;277.2
02-02-2019;20-21;254.06
02-02-2019;21-22;248.4
02-02-2019;22-23;244.83
02-02-2019;23-00;237.54
03-02-2019;00-01;244.93
03-02-2019;01-02;239.87
03-02-2019;02-03;238.16
03-02-2019;03-04;238.09
03-02-2019;04-05;240.02
03-02-2019;05-06;244.63
03-02-2019;06-07;245.08
03-02-2019;07-08;248.28
03-02-2019;08-09;251.56
03-02-2019;09-10;260.86
03-02-2019;10-11;272.02
03-02-2019;11-12;268.75
03-02-2019;12-13;257.73
03-02-2019;13-14;252.08
03-02-2019;14-15;248.95
03-02-2019;15-16;249.25
03-02-2019;16-17;268.53
03-02-2019;17-18;335.95
03-02-2019;18-19;292.94
03-02-2019;19-20;258.03
03-02-2019;20-21;248.28
03-02-2019;21-22;245.08
03-02-2019;22-23;243.3
03-02-2019;23-00;239.28
04-02-2019;00-01;238.32
04-02-2019;01-02;232.96
04-02-2019;02-03;230.43
04-02-2019;03-04;230.65
04-02-2019;04-05;229.46
04-02-2019;05-06;229.16
04-02-2019;06-07;229.53
04-02-2019;07-08;232.44
04-02-2019;08-09;233.48
04-02-2019;09-10;240.99
04-02-2019;10-11;246.35
04-02-2019;11-12;256.33
04-02-2019;12-13;248.59
04-02-2019;13-14;238.76
04-02-2019;14-15;235.26
04-02-2019;15-16;238.84
04-02-2019;16-17;254.91
04-02-2019;17-18;295.55
04-02-2019;18-19;319.37
04-02-2019;19-20;297.78
04-02-2019;20-21;269.05
04-02-2019;21-22;260.49
04-02-2019;22-23;254.99
